,Lineup
87,"['Charlie Morton (15257964)', 'Kyle Hendricks (15257963)', 'Roberto Perez (15258281)', 'Cody Bellinger (15257984)', 'Cesar Hernandez (15258088)', 'DJ LeMahieu (15258035)', 'Trea Turner (15257986)', 'Adam Eaton (15258124)', 'Shohei Ohtani (15258029)', 'Delino DeShields (15258515)']"
88,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Gary Sanchez (15258079)', 'Bobby Dalbec (15258279)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Jose Martinez (15259170)', 'Delino DeShields (15258515)', 'J.D. Martinez (15258003)']"
89,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Jose Martinez (15259170)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Kevin Newman (15258129)', 'Max Kepler (15258061)', 'Ian Happ (15258086)', 'Avisail Garcia (15258163)']"
90,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Shohei Ohtani (15258029)', 'Jose Peraza (15258324)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Juan Soto (15257981)', 'Adam Frazier (15258194)', 'Christian Yelich (15258006)']"
91,"['Walker Buehler (15258586)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Bobby Dalbec (15258279)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Nomar Mazara (15258349)', 'Juan Soto (15257981)', 'J.D. Martinez (15258003)']"
92,"['Triston McKenzie (15257970)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'DJ LeMahieu (15258035)', 'Luis Urias (15258105)', 'Trea Turner (15257986)', 'Delino DeShields (15258515)', 'Franmil Reyes (15258094)', 'Christian Yelich (15258006)']"
93,"['Spencer Turnbull (15258611)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Luis Urias (15258105)', 'DJ LeMahieu (15258035)', 'Tyler Wade (15258388)', 'Trent Grisham (15258083)', 'Adam Frazier (15258194)', 'Shohei Ohtani (15258029)']"
94,"['Dinelson Lamet (15257959)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Howie Kendrick (15258070)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Wil Myers (15258127)', 'Christian Yelich (15258006)', 'Adam Frazier (15258194)']"
95,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Carlos Santana (15258097)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Franmil Reyes (15258094)', 'Ian Happ (15258086)', 'Max Kepler (15258061)']"
96,"['Triston McKenzie (15257970)', 'Kyle Hendricks (15257963)', 'Omar Narvaez (15258140)', 'Shohei Ohtani (15258029)', 'Kevin Newman (15258129)', 'Manny Machado (15258022)', 'Trea Turner (15257986)', 'Max Kepler (15258061)', 'Aaron Hicks (15258148)', 'Shohei Ohtani (15258029)']"
97,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Jose Peraza (15258324)', 'Max Muncy (15257988)', 'Corey Seager (15257993)', 'Christian Yelich (15258006)', 'Victor Reyes (15258186)', 'Jose Peraza (15258324)']"
98,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Shohei Ohtani (15258029)', 'Gregory Polanco (15258267)', 'J.D. Martinez (15258003)']"
99,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Corey Seager (15257993)', 'Wil Myers (15258127)', 'Victor Reyes (15258186)', 'Ian Happ (15258086)']"
100,"['Adrian Houser (15258614)', 'Walker Buehler (15258586)', 'Jacob Stallings (15258258)', 'Shohei Ohtani (15258029)', 'Kevin Newman (15258129)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Jose Peraza (15258324)', 'J.D. Martinez (15258003)', 'Manuel Margot (15258268)']"
101,"['Dinelson Lamet (15257959)', 'Jose Berrios (15257965)', 'Kurt Suzuki (15258087)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Jorge Polanco (15258025)', 'Victor Robles (15258396)', 'Hunter Renfroe (15258151)', 'Mookie Betts (15257977)']"
102,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Cody Bellinger (15257984)', 'Jose Peraza (15258324)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'Ian Happ (15258086)', 'Franmil Reyes (15258094)', 'Jose Martinez (15259170)']"
103,"['Adrian Houser (15258614)', 'Kyle Hendricks (15257963)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Tyler Naquin (15258296)', 'Franmil Reyes (15258094)', 'Mookie Betts (15257977)']"
104,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Daulton Varsho (15258498)', 'Edwin Encarnacion (15258102)', 'Keston Hiura (15258000)', 'Alec Bohm (15258185)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Ben Gamel (15258252)', 'Ian Happ (15258086)']"
105,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Kevan Smith (15258191)', 'Jeimer Candelario (15258107)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Daulton Varsho (15258498)', 'Manuel Margot (15258268)', 'Trent Grisham (15258083)']"
106,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Kevin Newman (15258129)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Mookie Betts (15257977)', 'Wil Myers (15258127)', 'Trent Grisham (15258083)']"
107,"['Walker Buehler (15258586)', 'Dinelson Lamet (15257959)', 'Daulton Varsho (15258498)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', ""Ke'Bryan Hayes (15258566)"", 'Tyler Wade (15258388)', 'Mookie Betts (15257977)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)']"
108,"['Triston McKenzie (15257970)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Shohei Ohtani (15258029)', 'Christian Yelich (15258006)', 'Tyler Naquin (15258296)']"
109,"['Adrian Houser (15258614)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Howie Kendrick (15258070)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Xander Bogaerts (15258001)', 'Juan Soto (15257981)', 'Wil Myers (15258127)', 'Josh Naylor (15258539)']"
110,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Trent Grisham (15258083)', 'Eddie Rosario (15258085)', 'Byron Buxton (15258139)']"
111,"['Charlie Morton (15257964)', 'Walker Buehler (15258586)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Luis Urias (15258105)', 'Javier Baez (15258058)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)', 'Tyler Naquin (15258296)']"
112,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Jacob Stallings (15258258)', 'Mitch Moreland (15258080)', 'DJ LeMahieu (15258035)', 'Rafael Devers (15257998)', 'Adalberto Mondesi (15258218)', 'Randy Arozarena (15258226)', 'Jose Martinez (15259170)', 'J.D. Martinez (15258003)']"
113,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Eduardo Escobar (15258066)', 'Willy Adames (15258089)', 'Max Kepler (15258061)', 'J.D. Martinez (15258003)', 'Tyler Naquin (15258296)']"
114,"['Dinelson Lamet (15257959)', 'Jordan Montgomery (15257966)', 'Daulton Varsho (15258498)', 'Carlos Santana (15258097)', 'Jose Peraza (15258324)', 'Yoan Moncada (15257995)', 'Jorge Polanco (15258025)', 'Eddie Rosario (15258085)', 'Christian Yelich (15258006)', 'Shohei Ohtani (15258029)']"
115,"['Walker Buehler (15258586)', 'Jose Berrios (15257965)', 'Jacob Stallings (15258258)', 'Shohei Ohtani (15258029)', 'Jake Cronenworth (15258100)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Wil Myers (15258127)', 'Tyler Naquin (15258296)', 'Alex Verdugo (15258039)']"
116,"['Kyle Hendricks (15257963)', 'Jose Berrios (15257965)', 'J.T. Realmuto (15258010)', 'Josh Bell (15258155)', 'Jonathan Schoop (15258064)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Ian Happ (15258086)', 'Christian Yelich (15258006)', 'Randy Arozarena (15258226)']"
117,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Yasmani Grandal (15258024)', 'Bobby Dalbec (15258279)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Willy Adames (15258089)', 'Christian Yelich (15258006)', 'J.D. Martinez (15258003)', 'Gregory Polanco (15258267)']"
118,"['Dinelson Lamet (15257959)', 'Triston McKenzie (15257970)', 'Yasmani Grandal (15258024)', 'Carlos Santana (15258097)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Daulton Varsho (15258498)', 'Trent Grisham (15258083)']"
119,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Cody Bellinger (15257984)', 'Luis Urias (15258105)', 'Luis Urias (15258105)', 'Javier Baez (15258058)', 'Victor Robles (15258396)', 'Max Kepler (15258061)', 'Trent Grisham (15258083)']"
120,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Bobby Dalbec (15258279)', 'Jonathan Schoop (15258064)', 'DJ LeMahieu (15258035)', 'Francisco Lindor (15258007)', 'Wil Myers (15258127)', 'Victor Reyes (15258186)', 'Juan Soto (15257981)']"
121,"['Jose Berrios (15257965)', 'Spencer Turnbull (15258611)', 'Gary Sanchez (15258079)', 'Michael Chavis (15258110)', 'Kevin Newman (15258129)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Jorge Soler (15258074)', 'Aaron Hicks (15258148)']"
122,"['Max Scherzer (15257957)', 'Jordan Montgomery (15257966)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Victor Reyes (15258186)', 'Christian Yelich (15258006)', 'Ian Happ (15258086)']"
123,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'Kevin Newman (15258129)', 'Jose Ramirez (15258011)', 'Tyler Wade (15258388)', 'Trent Grisham (15258083)', 'Shohei Ohtani (15258029)', 'Franmil Reyes (15258094)']"
124,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Omar Narvaez (15258140)', 'Carlos Santana (15258097)', 'Jonathan Schoop (15258064)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Wil Myers (15258127)', 'Max Kepler (15258061)', 'Ian Happ (15258086)']"
125,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Max Muncy (15257988)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Tyler Wade (15258388)', 'Adam Frazier (15258194)', 'Ian Happ (15258086)', 'Cody Bellinger (15257984)']"
126,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Josh Bell (15258155)', 'DJ LeMahieu (15258035)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Franmil Reyes (15258094)', 'Christian Yelich (15258006)', 'Randy Arozarena (15258226)']"
127,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Francisco Lindor (15258007)', 'Mookie Betts (15257977)', 'Franmil Reyes (15258094)', 'Trent Grisham (15258083)']"
128,"['Dinelson Lamet (15257959)', 'Kyle Hendricks (15257963)', 'J.T. Realmuto (15258010)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Wil Myers (15258127)', 'Victor Robles (15258396)']"
129,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Kevin Newman (15258129)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Juan Soto (15257981)', 'Shohei Ohtani (15258029)', 'Christian Yelich (15258006)']"
130,"['Kyle Hendricks (15257963)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Howie Kendrick (15258070)', 'Ketel Marte (15257987)', 'DJ LeMahieu (15258035)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Avisail Garcia (15258163)', 'Jorge Soler (15258074)']"
131,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Roberto Perez (15258281)', 'Shohei Ohtani (15258029)', 'Michael Chavis (15258110)', 'Rafael Devers (15257998)', 'Francisco Lindor (15258007)', 'Brett Gardner (15258231)', 'Jay Bruce (15258298)', 'Max Kepler (15258061)']"
132,"['Dinelson Lamet (15257959)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Justin Smoak (15258112)', 'DJ LeMahieu (15258035)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Wil Myers (15258127)', 'Victor Reyes (15258186)', 'J.D. Martinez (15258003)']"
133,"['Kyle Hendricks (15257963)', 'Jose Berrios (15257965)', 'Yasmani Grandal (15258024)', 'Carlos Santana (15258097)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Jorge Polanco (15258025)', 'Franmil Reyes (15258094)', 'Shohei Ohtani (15258029)', 'Gregory Polanco (15258267)']"
134,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Howie Kendrick (15258070)', 'Kevin Newman (15258129)', 'Bobby Dalbec (15258279)', 'Adalberto Mondesi (15258218)', 'Juan Soto (15257981)', 'Shohei Ohtani (15258029)', 'Andrew McCutchen (15258090)']"
135,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Justin Smoak (15258112)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Didi Gregorius (15258059)', 'Trent Grisham (15258083)', 'Jurickson Profar (15258158)', 'Eddie Rosario (15258085)']"
136,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Brett Gardner (15258231)', 'Trent Grisham (15258083)', 'Byron Buxton (15258139)']"
137,"['Zack Wheeler (15257960)', 'Jose Berrios (15257965)', 'Roberto Perez (15258281)', 'Cody Bellinger (15257984)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Jorge Polanco (15258025)', 'Jose Peraza (15258324)', 'Trent Grisham (15258083)', 'Franmil Reyes (15258094)']"
138,"['Adrian Houser (15258614)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Xander Bogaerts (15258001)', 'Wil Myers (15258127)', 'Franmil Reyes (15258094)', 'J.D. Martinez (15258003)']"
139,"['Dinelson Lamet (15257959)', 'Zack Wheeler (15257960)', 'Omar Narvaez (15258140)', 'Howie Kendrick (15258070)', 'Jonathan Schoop (15258064)', 'Manny Machado (15258022)', 'Tyler Wade (15258388)', 'Randy Arozarena (15258226)', 'Christian Yelich (15258006)', 'Mike Tauchman (15258190)']"
140,"['Kyle Hendricks (15257963)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Jorge Polanco (15258025)', 'Mike Trout (15257980)', 'Aaron Hicks (15258148)', 'J.D. Martinez (15258003)']"
141,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'J.T. Realmuto (15258010)', 'Luke Voit (15258071)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Kevin Newman (15258129)', 'Franmil Reyes (15258094)', 'Max Kepler (15258061)', 'J.D. Martinez (15258003)']"
142,"['Charlie Morton (15257964)', 'Jose Berrios (15257965)', 'Omar Narvaez (15258140)', 'Anthony Rizzo (15258004)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Adam Frazier (15258194)', 'Aaron Hicks (15258148)', 'Franmil Reyes (15258094)']"
143,"['Walker Buehler (15258586)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Josh Bell (15258155)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Corey Seager (15257993)', 'Alex Gordon (15258463)', 'Ian Happ (15258086)', 'Shohei Ohtani (15258029)']"
144,"['Dinelson Lamet (15257959)', 'Max Scherzer (15257957)', 'Daulton Varsho (15258498)', 'Carlos Santana (15258097)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Daulton Varsho (15258498)', 'Juan Soto (15257981)', 'Hunter Renfroe (15258151)']"
145,"['Walker Buehler (15258586)', 'Kyle Hendricks (15257963)', 'Omar Narvaez (15258140)', 'Howie Kendrick (15258070)', 'Tyler Wade (15258388)', 'Rafael Devers (15257998)', 'Francisco Lindor (15258007)', 'Byron Buxton (15258139)', 'Tyler Naquin (15258296)', 'J.D. Martinez (15258003)']"
146,"['Jose Berrios (15257965)', 'Adrian Houser (15258614)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'Max Kepler (15258061)', 'Hunter Renfroe (15258151)', 'Shohei Ohtani (15258029)']"
147,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Gary Sanchez (15258079)', 'Howie Kendrick (15258070)', 'Luis Urias (15258105)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'Franmil Reyes (15258094)', 'Victor Robles (15258396)']"
148,"['Spencer Turnbull (15258611)', 'Dinelson Lamet (15257959)', 'Yasmani Grandal (15258024)', 'Shohei Ohtani (15258029)', 'Tyler Wade (15258388)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Brett Gardner (15258231)', 'Trent Grisham (15258083)', 'Tyler Naquin (15258296)']"
149,"['Dinelson Lamet (15257959)', 'Walker Buehler (15258586)', 'Omar Narvaez (15258140)', 'Bobby Dalbec (15258279)', 'Jose Peraza (15258324)', 'Max Muncy (15257988)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Tyler Naquin (15258296)', 'Trent Grisham (15258083)']"
150,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Franmil Reyes (15258094)', 'Adam Frazier (15258194)']"
151,"['Max Scherzer (15257957)', 'Dinelson Lamet (15257959)', 'Gary Sanchez (15258079)', 'Shohei Ohtani (15258029)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Tyler Naquin (15258296)', 'Franmil Reyes (15258094)', 'Daulton Varsho (15258498)']"
152,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Howie Kendrick (15258070)', 'Michael Chavis (15258110)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Cody Bellinger (15257984)', 'Eddie Rosario (15258085)', 'Victor Robles (15258396)']"
153,"['Walker Buehler (15258586)', 'Kyle Hendricks (15257963)', 'Jacob Stallings (15258258)', 'Luke Voit (15258071)', 'Kevin Newman (15258129)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Tyler Naquin (15258296)', 'Franmil Reyes (15258094)', 'Christian Yelich (15258006)']"
154,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Jacob Stallings (15258258)', 'Howie Kendrick (15258070)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Franmil Reyes (15258094)', 'Trent Grisham (15258083)', 'Randy Arozarena (15258226)']"
155,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Jacob Stallings (15258258)', 'Shohei Ohtani (15258029)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Daulton Varsho (15258498)', 'AJ Pollock (15258091)', 'Franmil Reyes (15258094)']"
156,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Daulton Varsho (15258498)', 'Josh Bell (15258155)', 'Ketel Marte (15257987)', 'DJ LeMahieu (15258035)', 'Xander Bogaerts (15258001)', 'Franmil Reyes (15258094)', 'Adam Frazier (15258194)', 'Wil Myers (15258127)']"
157,"['Triston McKenzie (15257970)', 'Jordan Montgomery (15257966)', 'Jacob Stallings (15258258)', 'Cody Bellinger (15257984)', 'Ketel Marte (15257987)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Adam Frazier (15258194)', 'Trent Grisham (15258083)', 'Juan Soto (15257981)']"
